row_index,source_name,true_label,pred_label,confidence,period,amplitude,ra_deg,dec_deg,simbad_id,simbad_otype,vsx_name,vsx_type,vsx_period,asassn_name,asassn_type,asassn_period,asassn_amp,gcvs_name,gcvs_type,gcvs_period,pred_broad,true_broad,vsx_broad,asassn_broad,simbad_broad,n_confirm_pred,n_confirm_true,final_verdict
986203,ASASSN-V J182235.57-170933.2,SR,EA,0.999783,0.8751797236264867,0.9559999999999995,275.648208,-17.159222,Gaia DR3 4096579801662683520,EB*,GDS_J1822355-170933,VAR,,J182235.57-170933.2,SR,7.158106,0.33,,,,EB,LPV,VAR,LPV,EB,1,1,CONFLICTING
716588,ASASSN-V J014345.89+771841.3,DSCT,EW,0.999736,0.1787557191244029,0.4190000000000005,25.941208,77.311472,ZTF J014345.91+771841.3,EB*,WISE J014345.8+771841,EW,0.357521,J014345.89+771841.3,HADS,0.178756,0.32,,,,EB,DSCT,EB,DSCT,EB,2,1,MODEL_LIKELY_CORRECT
710582,ASASSN-V J085327.36-035647.3,DSCT,EW,0.999722,0.1686780114460966,0.495000000000001,133.364,-3.946472,CRTS J085327.3-035647,EB*,NSVS 12925117,EW,0.3373515,J085327.36-035647.3,HADS,0.1686772,0.36,,,,EB,DSCT,EB,DSCT,EB,2,1,MODEL_LIKELY_CORRECT
15029,ASASSN-V J203938.65+282020.3,RRC,EW,0.999712,0.2104060344381744,0.548,309.911042,28.338972,ASAS J203938+2820.3,EB*,ASAS J203938+2820.3,ESD|ED,0.347505,J203938.65+282020.3,RRC,0.2104053,0.41,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
8613,ASASSN-V J191317.43-112556.7,RRC,EW,0.999612,0.1851305877209264,1.0780000000000012,288.322625,-11.432417,ATO J288.3220-11.4327,EB*,ZTF J191317.29-112557.7,EW,0.37026,J191317.43-112556.7,RRC,0.1851268,0.61,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
18489,ASASSN-V J194029.63-182915.5,RRC,EW,0.999589,0.1984496973285033,0.7089999999999996,295.123458,-18.487639,ATO J295.1234-18.4876,EB*,ASASSN-V J194029.63-182915.4,EW,0.396895,J194029.63-182915.5,RRC,0.1984487,0.46,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
10917,ASASSN-V J182314.79-325702.2,RRC,EW,0.999563,0.1884151129456134,0.7029999999999994,275.811625,-32.950611,Gaia DR3 4045164885599471488,EB*,ASASSN-V J182314.73-325704.0,RRC,0.18842,J182314.79-325702.2,RRC,0.1884205,0.49,,,,EB,RR,RR,RR,EB,1,2,CONFLICTING
699919,ASASSN-V J114527.31+302531.8,DSCT,EW,0.999495,0.1565627139850264,0.5679999999999996,176.363792,30.4255,NSVS   7591301,EB*,NSVS 7591301,EW,0.31314,J114527.31+302531.8,HADS,0.156562,0.43,,,,EB,DSCT,EB,DSCT,EB,2,1,MODEL_LIKELY_CORRECT
699228,ASASSN-V J084058.22-304834.0,DSCT,EW,0.999463,0.1668287073510091,0.7639999999999993,130.242583,-30.809444,ATO J130.2433-30.8095,EB*,WISE J084058.3-304834,EW,0.3336606,J084058.22-304834.0,HADS,0.1668312,0.55,,,,EB,DSCT,EB,DSCT,EB,2,1,MODEL_LIKELY_CORRECT
9653,ASASSN-V J135756.99-564828.1,RRC,EW,0.999426,0.2033174862543635,0.8260000000000005,209.487458,-56.807806,Gaia DR3 5872169863703305856,EB*,ASASSN-V J135757.09-564826.5,RRC,0.203321,J135756.99-564828.1,RRC,0.203321,0.36,,,,EB,RR,RR,RR,EB,1,2,CONFLICTING
272903,ZTFJ171830.54+575604.5,CEP,RRAB,0.999424,0.9073180739568788,1.6380000000000017,259.62725,57.934583,[KHS2008] 312,RR*,CSS_J171830.5+575604,RRAB,0.9073692,,,,,,,,RR,CEP,RR,,RR,2,0,MODEL_LIKELY_CORRECT
702785,ASASSN-V_J090758.17-090141.8,DSCT,RRAB,0.999414,0.4624539042025315,3.8009999999999997,136.992375,-9.028278,ATO J136.9923-09.0282,RR*,CSS_J090758.1-090142,RRAB,0.4624729,J090758.16-090141.2,RRAB,0.4624624,1.29,,,,RR,DSCT,RR,RR,RR,3,0,MODEL_LIKELY_CORRECT
699281,ASASSN-V J170540.57-551658.8,DSCT,EW,0.999392,0.1406334147784358,0.7560000000000002,256.419042,-55.283,Gaia DR3 5917627488324862592,EB*,ASASSN-V J170540.90-551701.0,HADS,0.140633,J170540.57-551658.8,HADS,0.1406328,0.55,,,,EB,DSCT,DSCT,DSCT,EB,1,2,CONFLICTING
717497,ASASSN-V J201038.96-255912.8,DSCT,EW,0.999339,0.1656590628061031,0.745000000000001,302.662333,-25.986889,Gaia DR3 6847520721416482048,EB*,WISE J201038.9-255912,EW|EA,0.3313215,J201038.96-255912.8,HADS,0.1656596,0.5,,,,EB,DSCT,EB,DSCT,EB,2,1,MODEL_LIKELY_CORRECT
704964,ASASSN-V J165624.97-292009.0,DSCT,EW,0.999331,0.1553455260915366,0.6230000000000011,254.104042,-29.335833,Gaia DR3 6029706820244453632,EB*,ASASSN-V J165624.98-292011.0,HADS,0.155342,J165624.97-292009.0,HADS,0.1553422,0.46,,,,EB,DSCT,DSCT,DSCT,EB,1,2,CONFLICTING
19493,ASASSN-V J184619.77-324027.9,RRC,EW,0.999284,0.1883768133230819,0.39700000000000024,281.582375,-32.674417,Gaia DR3 6736076353149799040,EB*,ASASSN-V J184619.91-324025.8,RRC,0.188377,J184619.77-324027.9,RRC,0.1883769,0.26,,,,EB,RR,RR,RR,EB,1,2,CONFLICTING
7182,ASASSN-V J201420.62+050719.1,RRC,EW,0.999231,0.2022737968858839,0.7669999999999995,303.585917,5.121972,ATO J303.5859+05.1220,EB*,ZTF J201420.62+050719.6,EW,0.4045488,J201420.62+050719.1,RRC,0.2022753,0.44,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
3959,ASASSN-V J093327.61-452516.3,RRC,EW,0.999226,0.1811582540356142,0.8140000000000001,143.365042,-45.421194,Gaia DR3 5423052005470979712,EB*,WISE J093327.5-452516,EW,0.3619491,J093327.61-452516.3,RRC,0.1811547,0.43,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
15328,ASASSN-V J165751.85-314732.9,RRC,EW,0.999214,0.2690794390900464,0.5139999999999993,254.466042,-31.792472,Gaia DR3 6026926950004716160,EB*,ASASSN-V J165751.82-314731.4,RRC,0.269085,J165751.85-314732.9,RRC,0.2690849,0.44,,,,EB,RR,RR,RR,EB,1,2,CONFLICTING
6474,ASASSN-V J183502.87+060126.7,RRC,EW,0.9992,0.2133881549194315,0.4250000000000007,278.761958,6.024083,ATO J278.7619+06.0240,EB*,WISE J183502.8+060126,EW,0.4267792,J183502.87+060126.7,RRC,0.2133871,0.3,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
705930,ASASSN-V J140446.34-550457.7,DSCT,EW,0.999191,0.171428298226701,0.6099999999999994,211.193083,-55.082694,Gaia DR3 5896422925533441024,EB*,ASASSN-V J140446.38-550456.7,HADS,0.17143,J140446.34-550457.7,HADS,0.1714303,0.46,,,,EB,DSCT,DSCT,DSCT,EB,1,2,CONFLICTING
700913,ASASSN-V J173755.57+103157.5,DSCT,EW,0.999173,0.1597393349784187,0.4079999999999995,264.481542,10.532639,ATO J264.4815+10.5326,EB*,WISE J173755.5+103157,EW,0.319475,J173755.57+103157.5,HADS,0.1597392,0.35,,,,EB,DSCT,EB,DSCT,EB,2,1,MODEL_LIKELY_CORRECT
704878,ASASSN-V J171022.12-185939.6,DSCT,EW,0.999144,0.1340645781018258,0.5199999999999996,257.592167,-18.994333,ATO J257.5920-18.9951,EB*,Gaia DR3 4128575078955111168,E,0.268129,J171022.12-185939.6,HADS,0.1340656,0.39,,,,EB,DSCT,EB,DSCT,EB,2,1,MODEL_LIKELY_CORRECT
711628,ASASSN-V J092046.01-555052.6,DSCT,EW,0.999114,0.1487770973368149,0.9880000000000013,140.191708,-55.847944,Gaia DR3 5309941258610245760,EB*,ASASSN-V J092046.24-555051.0,HADS,0.148778,J092046.01-555052.6,HADS,0.1487776,0.56,,,,EB,DSCT,DSCT,DSCT,EB,1,2,CONFLICTING
13438,ASASSN-V J121217.64-541228.1,RRC,EW,0.999086,0.2052402007659971,1.1430000000000007,183.0735,-54.207806,Gaia DR3 6076730394252023296,EB*,ASASSN-V J121217.45-541227.2,RRC,0.205245,J121217.64-541228.1,RRC,0.2052446,0.54,,,,EB,RR,RR,RR,EB,1,2,CONFLICTING
1426,ASASSN-V J134616.59-702230.8,RRC,EW,0.999045,0.2545858767476672,0.4139999999999997,206.569125,-70.375222,Gaia DR3 5840881817199404416,EB*,WISE J134616.7-702230,EW|EA,0.5091733,J134616.59-702230.8,RRC,0.254586,0.35,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
19907,ASASSN-V J160810.21-453958.3,RRC,EW,0.998923,0.2046920272390858,0.4380000000000006,242.042542,-45.666194,Gaia DR3 5990976454434388224,EB*,ASASSN-V J160810.31-453956.9,RRC,0.204695,J160810.21-453958.3,RRC,0.2046954,0.34,,,,EB,RR,RR,RR,EB,1,2,CONFLICTING
7534,ASASSN-V J194315.28+030607.7,RRC,EW,0.998923,0.1800925186192912,0.43799999999999883,295.813667,3.102139,ATO J295.8136+03.1021,EB*,ZTF J194315.28+030607.6,EW,0.3601838,J194315.28+030607.7,RRC,0.1800917,0.28,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
497956,ASASSN-V J204107.31-424534.1,EW,DSCT,0.998896,0.1416505390296502,0.902000000000001,310.280458,-42.759472,CRTS J204107.2-424535,dS*,SSS_J204107.2-424535,HADS,0.141651,J204107.31-424534.1,EW,0.2833029,0.64,,,,DSCT,EB,DSCT,EB,DSCT,2,1,MODEL_LIKELY_CORRECT
15512,ASASSN-V J131237.67-661548.2,RRC,EW,0.998866,0.1959562069635362,1.0130000000000017,198.156958,-66.263389,Gaia DR3 5857887134598361984,EB*,WISE J131237.9-661552,EW,0.391904,J131237.67-661548.2,RRC,0.195957,0.56,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
709254,ASASSN-V J195558.15+143516.0,DSCT,EW,0.998848,0.1541144252795097,0.6109999999999989,298.992292,14.587778,ATO J298.9918+14.5880,EB*,ZTF J195558.04+143516.9,EW,0.3082284,J195558.15+143516.0,HADS,0.1541155,0.47,,,,EB,DSCT,EB,DSCT,EB,2,1,MODEL_LIKELY_CORRECT
709250,ASASSN-V J184536.09-385720.0,DSCT,EW,0.998846,0.1384534418787076,0.7370000000000001,281.400375,-38.955556,Gaia DR3 6728922346372539392,EB*,ASASSN-V J184536.04-385718.0,HADS,0.138454,J184536.09-385720.0,HADS,0.1384536,0.42,,,,EB,DSCT,DSCT,DSCT,EB,1,2,CONFLICTING
723,ASASSN-V J061544.30+052441.6,RRC,EW,0.998777,0.2134813929102152,0.6120000000000001,93.934583,5.411556,ATO J093.9351+05.4118,EB*,ZTF J061544.44+052442.6,EW,0.4269644,J061544.30+052441.6,RRC,0.2134826,0.43,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
703735,ASASSN-V J211444.61+295827.4,DSCT,EW,0.998769,0.1621607590508006,0.42900000000000027,318.685875,29.974278,ATO J318.6857+29.9743,EB*,WISE J211444.5+295827,EW,0.324321,J211444.61+295827.4,HADS,0.1621614,0.3,,,,EB,DSCT,EB,DSCT,EB,2,1,MODEL_LIKELY_CORRECT
532149,ZTFJ190948.30+172330.4,EW,SR,0.998748,86.40147358490584,0.9690000000000012,287.45125,17.391778,ZTF J190948.30+172330.4,LP*,ZTF J190948.30+172330.4,EB:,173.2650704,,,,,,,,LPV,EB,EB,,LPV,1,1,CONFLICTING
12160,ASASSN-V J190017.74-074545.0,RRC,EW,0.998712,0.1830129038104707,0.4139999999999997,285.073917,-7.7625,ATO J285.0738-07.7620,EB*,ZTF J190017.72-074543.3,EW,0.3660214,J190017.74-074545.0,RRC,0.18301,0.32,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
452039,ZTFJ193841.87+124806.8,EW,SR,0.99866,26.779925730994226,0.4740000000000002,294.674458,12.801889,ZTF J193841.87+124806.8,LP*,ZTF J193841.87+124806.8,EB,54.0518458,J193841.89+124804.9,SR,39.06539,0.17,,,,LPV,EB,EB,LPV,LPV,2,1,MODEL_LIKELY_CORRECT
1737,ASASSN-V J082714.76-295305.4,RRC,EW,0.998655,0.1882562255533999,0.4980000000000011,126.8115,-29.884833,Gaia DR3 5643956192280650368,EB*,WISE J082714.7-295304,EW,0.3765128,J082714.76-295305.4,RRC,0.1882544,0.38,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
260271,ASASSN-V J014234.07+471900.5,ROT,SR,0.998616,57.16432585669653,0.6230000000000011,25.641958,47.316806,ZTF J014234.06+471900.4,LP*,ZTF J014234.06+471900.4,SR,57.5008532,J014234.07+471900.5,ROT,57.2,0.33,,,,LPV,ROT,LPV,ROT,LPV,2,1,MODEL_LIKELY_CORRECT
715781,ASASSN-V J142858.01-651437.9,DSCT,EW,0.998585,0.1571613171761729,0.4079999999999995,217.241708,-65.243861,Gaia DR3 5849594313029408896,EB*,ASASSN-V J142857.91-651437.2,HADS,0.157158,J142858.01-651437.9,HADS,0.1571582,0.23,,,,EB,DSCT,DSCT,DSCT,EB,1,2,CONFLICTING
710104,ASASSN-V J195624.96+043448.4,DSCT,EW,0.998564,0.1596178611417335,0.5780000000000012,299.104,4.580111,ATO J299.1041+04.5802,EB*,WISE J195624.9+043448,EW|EA,0.3195187,J195624.96+043448.4,HADS,0.1596187,0.44,,,,EB,DSCT,EB,DSCT,EB,2,1,MODEL_LIKELY_CORRECT
19494,ASASSN-V J080402.90-144926.8,RRC,EW,0.99841,0.2248041949160402,0.786999999999999,121.012083,-14.824111,ATO J121.0122-14.8240,EB*,WISE J080402.9-144926,EW,0.4496124,J080402.90-144926.8,RRC,0.2248082,0.5,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
273953,ZTFJ172017.79+575707.5,CEP,RRAB,0.998358,0.9009047516198704,1.2759999999999998,260.074125,57.952083,BASV 141,RR*,EV* U10822 V0141,CWB,0.900915,,,,,,,,RR,CEP,CEP,,RR,1,1,CONFLICTING
213084,ASASSN-V J172651.90-400120.5,ROT,SR,0.998308,73.13211496065071,1.8040000000000003,261.71625,-40.022361,2MASS J17265195-4001194,LP*,OGLEII BUL-SC47 93930,BE,74.0,J172651.90-400120.5,ROT,72.67328,0.25,,,,LPV,ROT,BE,ROT,LPV,1,1,CONFLICTING
433032,ZTFJ183630.73+105803.8,EW,SR,0.9983,115.0907974358975,1.0489999999999995,279.128042,10.967722,ATO J279.1280+10.9677,LP*,ZTF J183630.73+105803.8,EB:,219.7095288,J183630.68+105803.1,SR,87.51066,0.37,,,,LPV,EB,EB,LPV,LPV,2,1,MODEL_LIKELY_CORRECT
17770,ASASSN-V J193729.63+085452.3,RRC,EW,0.998266,0.2125159255480858,0.8109999999999999,294.373458,8.914528,ATO J294.3732+08.9150,EB*,ZTF J193729.57+085454.3,EW,0.425027,J193729.63+085452.3,RRC,0.2125134,0.56,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
